ra,dec,u,g,r,i,z
161.589221847762,51.027144764889,24.49816,22.30462,20.91936,20.27039,19.49038
161.589221847762,51.027144764889,24.47909,22.30462,20.91936,20.27039,19.49038
161.590162864901,51.0147879984603,21.75057,22.47272,22.08688,21.74522,21.27855
161.590236029615,51.1565079785936,23.49483,22.60348,21.93165,21.98439,22.41584
161.590237550988,51.1565082428616,23.49795,22.60333,21.93176,22.3606,22.10191
161.590377310133,51.1587882319519,25.26232,23.11801,22.44595,21.96925,21.70954
161.590499600211,51.0750883667987,22.09054,21.23412,20.08867,19.67892,19.47032
161.590505504638,51.07508518283,21.83941,21.09853,20.01358,19.60491,19.46883
161.590505504646,51.0750851828313,21.83941,21.09853,20.01358,19.60491,19.46883
161.590525003694,51.0118032944601,23.24255,22.9275,22.89048,21.94574,23.51963
161.591075096735,51.0336823881797,25.5345,22.49653,22.35266,21.2885,21.57642
161.591154877219,51.0508812113644,-9999,22.54044,-9999,-9999,-9999
161.591395206665,51.007230768316,22.77098,20.86622,19.73637,19.32214,19.01974
161.59139559807,50.9963330401256,24.56895,23.26004,23.32414,22.74244,23.15349
161.591482211401,50.9437247907748,22.78881,21.65091,21.07258,20.84038,20.96474
161.591507990861,51.155793556891,24.11297,24.45428,24.6834,22.23016,21.35267
161.591672940628,50.900873547695,24.99591,24.60164,22.04367,21.84958,20.97919
161.591845248762,50.9793205447875,23.07243,22.9296,21.60099,21.42461,21.46993
161.591861989867,50.9793173038222,-9999,-9999,-9999,-9999,-9999
161.59233221001,50.9335768364256,22.61635,22.16308,21.43299,21.25582,20.91607
161.592372528196,50.9865800841167,21.65713,20.79169,26.57223,22.90905,24.63128
161.592551696353,51.0501105758243,25.98581,20.42482,20.07748,19.57919,23.31343
161.592562723162,51.1629549190933,25.75373,22.97627,22.51844,22.77256,22.43659
161.592563494099,51.2183427931068,23.68466,22.41049,21.80875,21.42788,21.1761
161.593113649429,51.0370502317838,23.7609,22.39505,22.55281,20.71108,20.64887
161.593246152597,50.9814485651983,21.88258,21.39474,20.85056,20.61853,20.69326
